freq_hz,gain_mag,gain_db
1.348962880000000041e+03,9.999640822299810106e-01,-3.119833893376984719e-04
1.380384260000000040e+03,9.999623897505605097e-01,-3.266846192750293056e-04
1.412537540000000035e+03,9.999606170218694468e-01,-3.420829378269596541e-04
1.445439769999999953e+03,9.999587618008697332e-01,-3.581978322855784410e-04
1.479108390000000099e+03,9.999568180216885649e-01,-3.750819964160458466e-04
1.513561249999999973e+03,9.999547828033208408e-01,-3.927604599282614106e-04
1.548816620000000057e+03,9.999526524591693111e-01,-4.112652505650965713e-04
1.584893190000000004e+03,9.999504215052823497e-01,-4.306440089679762560e-04
1.621810099999999920e+03,9.999480846712796023e-01,-4.509425213051408937e-04
1.659586909999999989e+03,9.999456379072518830e-01,-4.721959730013303462e-04
1.698243649999999889e+03,9.999430763988447213e-01,-4.944461903983664005e-04
1.737800829999999905e+03,9.999403935749151540e-01,-5.177502607809286251e-04
1.778279410000000098e+03,9.999375851189252762e-01,-5.421456879433291009e-04
1.819700859999999921e+03,9.999346439838089351e-01,-5.676936951204239771e-04
1.862087140000000090e+03,9.999315644013658799e-01,-5.944443978620037213e-04
1.905460720000000038e+03,9.999283388958264407e-01,-6.224627456436358699e-04
1.949844599999999900e+03,9.999249623012563815e-01,-6.517936248341206539e-04
1.995262310000000070e+03,9.999214257695646646e-01,-6.825139083109297688e-04
2.041737939999999981e+03,9.999177237939164131e-01,-7.146714465115115234e-04
2.089296130000000176e+03,9.999138462142351802e-01,-7.483545123047948434e-04
2.137962089999999989e+03,9.999097862447696716e-01,-7.836220690422938950e-04
2.187761620000000221e+03,9.999055354831395404e-01,-8.205471250671630360e-04
2.238721140000000105e+03,9.999010839311883725e-01,-8.592165529914938451e-04
2.290867650000000140e+03,9.998964230181964785e-01,-8.997048281489570479e-04
2.344228819999999814e+03,9.998915426099527215e-01,-9.421000101609112521e-04
2.398832919999999831e+03,9.998864320439009301e-01,-9.864947512537886477e-04
2.454708920000000035e+03,9.998810811364359230e-01,-1.032977546277041641e-03
2.511886430000000018e+03,9.998754772195592722e-01,-1.081658475291343924e-03
2.570395779999999831e+03,9.998696101505102352e-01,-1.132625685643148328e-03
2.630267989999999827e+03,9.998634663515822973e-01,-1.185997168141244684e-03
2.691534799999999905e+03,9.998570328214571035e-01,-1.241885911266999007e-03
2.754228700000000117e+03,9.998502961774027309e-01,-1.300408221946055144e-03
