FREQ,Re(V(VBN)),Im(V(VBN)),Re(V(XOTA:TAIL)),Im(V(XOTA:TAIL)),Re(V(XOTA:D)),Im(V(XOTA:D)),Re(V(VSS)),Im(V(VSS)),Re(V(VDD)),Im(V(VDD)),Re(V(OUT)),Im(V(OUT)),Re(V(IN)),Im(V(IN))
3.89045145e+00,1.05679963e-18,2.01142417e-10,7.73569727e-01,-1.59252968e-09,-9.20948097e-03,-1.67781616e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.22929492e-09,1.00000000e+00,0.00000000e+00
3.98107171e+00,1.10660506e-18,2.05827625e-10,7.73569727e-01,-1.62962446e-09,-9.20948097e-03,-1.71689752e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.28122187e-09,1.00000000e+00,0.00000000e+00
4.07380278e+00,1.15875775e-18,2.10621967e-10,7.73569727e-01,-1.66758329e-09,-9.20948097e-03,-1.75688920e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.33435835e-09,1.00000000e+00,0.00000000e+00
4.16869383e+00,1.21336832e-18,2.15527983e-10,7.73569727e-01,-1.70642630e-09,-9.20948097e-03,-1.79781241e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.38873254e-09,1.00000000e+00,0.00000000e+00
4.26579519e+00,1.27055260e-18,2.20548274e-10,7.73569727e-01,-1.74617407e-09,-9.20948097e-03,-1.83968884e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.44437327e-09,1.00000000e+00,0.00000000e+00
4.36515832e+00,1.33043190e-18,2.25685504e-10,7.73569727e-01,-1.78684769e-09,-9.20948097e-03,-1.88254069e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.50131004e-09,1.00000000e+00,0.00000000e+00
4.46683592e+00,1.39313323e-18,2.30942394e-10,7.73569727e-01,-1.82846872e-09,-9.20948097e-03,-1.92639070e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.55957303e-09,1.00000000e+00,0.00000000e+00
4.57088190e+00,1.45878957e-18,2.36321734e-10,7.73569727e-01,-1.87105923e-09,-9.20948097e-03,-1.97126210e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.61919315e-09,1.00000000e+00,0.00000000e+00
4.67735141e+00,1.52754021e-18,2.41826374e-10,7.73569727e-01,-1.91464180e-09,-9.20948097e-03,-2.01717870e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.68020200e-09,1.00000000e+00,0.00000000e+00
4.78630092e+00,1.59953096e-18,2.47459234e-10,7.73569727e-01,-1.95923953e-09,-9.20948097e-03,-2.06416482e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.74263192e-09,1.00000000e+00,0.00000000e+00
4.89778819e+00,1.67491453e-18,2.53223300e-10,7.73569727e-01,-2.00487608e-09,-9.20948097e-03,-2.11224540e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.80651602e-09,1.00000000e+00,0.00000000e+00
5.01187234e+00,1.75385082e-18,2.59121628e-10,7.73569727e-01,-2.05157565e-09,-9.20948097e-03,-2.16144592e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.87188818e-09,1.00000000e+00,0.00000000e+00
5.12861384e+00,1.83650727e-18,2.65157346e-10,7.73569727e-01,-2.09936298e-09,-9.20948097e-03,-2.21179246e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-2.93878305e-09,1.00000000e+00,0.00000000e+00
5.24807460e+00,1.92305919e-18,2.71333654e-10,7.73569727e-01,-2.14826343e-09,-9.20948097e-03,-2.26331172e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.00723610e-09,1.00000000e+00,0.00000000e+00
5.37031796e+00,2.01369017e-18,2.77653827e-10,7.73569727e-01,-2.19830291e-09,-9.20948097e-03,-2.31603103e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.07728363e-09,1.00000000e+00,0.00000000e+00
5.49540874e+00,2.10859247e-18,2.84121215e-10,7.73569727e-01,-2.24950796e-09,-9.20948097e-03,-2.36997832e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.14896277e-09,1.00000000e+00,0.00000000e+00
5.62341325e+00,2.20796737e-18,2.90739249e-10,7.73569727e-01,-2.30190574e-09,-9.20948097e-03,-2.42518221e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.22231154e-09,1.00000000e+00,0.00000000e+00
5.75439937e+00,2.31202567e-18,2.97511436e-10,7.73569727e-01,-2.35552401e-09,-9.20948097e-03,-2.48167196e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.29736881e-09,1.00000000e+00,0.00000000e+00
5.88843655e+00,2.42098808e-18,3.04441367e-10,7.73569727e-01,-2.41039121e-09,-9.20948097e-03,-2.53947752e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.37417440e-09,1.00000000e+00,0.00000000e+00
6.02559586e+00,2.53508573e-18,3.11532718e-10,7.73569727e-01,-2.46653644e-09,-9.20948097e-03,-2.59862955e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.45276902e-09,1.00000000e+00,0.00000000e+00
6.16595002e+00,2.65456064e-18,3.18789247e-10,7.73569727e-01,-2.52398945e-09,-9.20948097e-03,-2.65915941e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.53319434e-09,1.00000000e+00,0.00000000e+00
6.30957344e+00,2.77966623e-18,3.26214802e-10,7.73569727e-01,-2.58278072e-09,-9.20948097e-03,-2.72109919e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.61549301e-09,1.00000000e+00,0.00000000e+00
6.45654229e+00,2.91066786e-18,3.33813321e-10,7.73569727e-01,-2.64294141e-09,-9.20948097e-03,-2.78448173e-09,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,9.90909360e-01,-3.69970866e-09,1.00000000e+00,0.00000000e+00
