TIME,V(IN),V(OUT),V(VSS),V(VDD),V(A)
4.93858645e-07,1.53857770e+00,2.40385634e-04,0.00000000e+00,3.30000000e+00,2.67457341e+00
4.94546496e-07,1.53425867e+00,1.78076256e-04,0.00000000e+00,3.30000000e+00,2.69541771e+00
4.95922198e-07,1.52561878e+00,1.43238723e-04,0.00000000e+00,3.30000000e+00,2.73119686e+00
4.97297900e-07,1.51697698e+00,9.69196786e-05,0.00000000e+00,3.30000000e+00,2.76105343e+00
4.98673602e-07,1.50833391e+00,9.71333498e-05,0.00000000e+00,3.30000000e+00,2.78717268e+00
5.01425007e-07,1.49104654e+00,5.61341476e-05,0.00000000e+00,3.30000000e+00,2.83141697e+00
5.06927815e-07,1.45648500e+00,5.36326214e-05,0.00000000e+00,3.30000000e+00,2.90055943e+00
5.12430623e-07,1.42197547e+00,2.68807719e-05,0.00000000e+00,3.30000000e+00,2.95429659e+00
5.17933432e-07,1.38755921e+00,3.71057209e-05,0.00000000e+00,3.30000000e+00,2.99850297e+00
5.28939049e-07,1.31917088e+00,1.24779586e-05,0.00000000e+00,3.30000000e+00,3.06834108e+00
5.50950283e-07,1.18530998e+00,2.05633894e-05,0.00000000e+00,3.30000000e+00,3.16425747e+00
5.72961517e-07,1.05745859e+00,3.64773008e-07,0.00000000e+00,3.30000000e+00,3.22560189e+00
5.94972751e-07,9.38058238e-01,1.26232110e-05,0.00000000e+00,3.30000000e+00,3.26434735e+00
6.16983984e-07,8.29389067e-01,-5.26572205e-06,0.00000000e+00,3.30000000e+00,3.28620917e+00
6.38995218e-07,7.33526289e-01,8.50563848e-06,0.00000000e+00,3.30000000e+00,3.29596766e+00
6.61006452e-07,6.52300557e-01,-7.47137878e-06,0.00000000e+00,3.30000000e+00,3.29901841e+00
6.83017686e-07,5.87263007e-01,7.70621372e-06,0.00000000e+00,3.30000000e+00,3.29975045e+00
7.05028920e-07,5.39655635e-01,-7.64172114e-06,0.00000000e+00,3.30000000e+00,3.29990357e+00
7.27040154e-07,5.10387580e-01,7.65272487e-06,0.00000000e+00,3.30000000e+00,3.29996217e+00
7.49051388e-07,5.00017763e-01,-7.63752666e-06,0.00000000e+00,3.30000000e+00,3.29996798e+00
7.71062622e-07,5.08744212e-01,7.63374520e-06,0.00000000e+00,3.30000000e+00,3.29998203e+00
7.93073856e-07,5.36400281e-01,-7.63238361e-06,0.00000000e+00,3.30000000e+00,3.29994651e+00
8.15085090e-07,5.82457834e-01,7.58559816e-06,0.00000000e+00,3.30000000e+00,3.29983099e+00
8.37096323e-07,6.46037328e-01,-7.77999633e-06,0.00000000e+00,3.30000000e+00,3.29920979e+00
8.59107557e-07,7.25924609e-01,6.88073401e-06,0.00000000e+00,3.30000000e+00,3.29652823e+00
8.81118791e-07,8.20594103e-01,-9.84809090e-06,0.00000000e+00,3.30000000e+00,3.28762401e+00
9.03130025e-07,9.28237943e-01,2.99003452e-06,0.00000000e+00,3.30000000e+00,3.26708404e+00
9.25141259e-07,1.04680050e+00,-1.54549545e-05,0.00000000e+00,3.30000000e+00,3.23009548e+00
9.47152493e-07,1.17401762e+00,-4.46315790e-06,0.00000000e+00,3.30000000e+00,3.17120618e+00
9.69163727e-07,1.30745991e+00,-2.72934662e-05,0.00000000e+00,3.30000000e+00,3.07943916e+00
